"osoba (a person)","명"
"góra (a mountain)","산"
"mężczyzna, samiec (a man, male)","남자"
"kto (who)","누가"
"trzy (three)","세"
"lat (year's old)","세"
"wyrażenie (expression)","표현"
"droga/sposób (a way)","길"
"metro (a subway)","지하철"
"niedziela (niedziela)","일요일"
"szpital (a hospital)","병원"
"oko (an eye)","눈"
"śnieg (snow)","눈"
"zadanie (an assignment)","숙체"
"wakacje (a vacation)","방학"
"połowa (half)","반"
"klasa (a klasa)","반"
"alkohol (alcohol)","술"
"komputer (a computer)","컴퓨터"
"jabłko (an apple)","사과"
"rodzaj (a kind)","가지"
"telewizor (a television)","텔레비전"
"kwiatek (a flower)","꽃"
"rodzice (parents)","부모님"
"na(czymś) (on(something))","위"
"miesiąc (a month)","달"
"pytanie (a question)","질문"
"podłoga (a floor)","층"
"uczucie (feeling)","기분"
"personel (a staff)","직원"
"kino (a movie theater)","극장"
"lato (summer)","여름"
"biurko (a desk)","책상"
"sklep (a store)","가게"
"dziecko (a child)","아이"
"bulgogi(jedzenie) (bulgogi(food))","불고기"
"woda (water)","물"
"samolot (an airplane)","비행기"
"wysokość (height)","키"
"stacja metra (a subway station)","지하철역"
"posiłek (a meal)","식사"
"bank (a bank)","은행"
"po raz pierwszy (for the first time)","처음"
"impreza (a party)","파티"
"lek/lekarstwo (medicine)","약"
"dzień (a day)","날"
"gazeta (a newspaper)","신문"
"przeziębienie (a cold)","감기"
"obok/z boku (beside)","옆"
"zima (winter)","겨울"
"taksówka (a taxi)","택시"
"pływanie (swimming)","수영"
"lekarz (a doctor)","의사"
"raz/jeden raz (once)","한번"
"park (a park)","공원"
"noc (a night)","밤"
"kimchi(jedzenie) (kimchi(food))","김치"
"serce (heart)","마음"
"karta (a card)","카드"
"praca na pół etatu (a part time job)","아르바이트"
